Emri,Siperfaqe Totale,Siperfaqe e Brendshme,Dhoma Gjumi,Kati,Statusi,Lloji,Mobiluar,Shikime,Hipoteka,Gjendja,Qera,Cmimi,Zona,Qyteti,Url
1+1 PAMJE BALLORE TEK 27kt,95,89,1,5,Listimet e fundit,Apartament,Gjysme i mobiluar,89,Po,Në dispozicion,jo,280000,,Durrës,https://www.century21albania.com/property/4378863/1-1-pamje-ballore-tek-27kt-new112087.html
Ambjent per Qira Buze Rruge,350,315,3,,I Perdorur,Komercial,Gjysme i mobiluar,71,Po,Në dispozicion,po,7500,,Tirana,https://www.century21albania.com/property/4371605/ambjent-per-qira-buze-rruge-ent111918.html
APARTAMENT 2+1 ME QIRA TEK RRUGA FERIT XHAJKO,56,56,2,5,I Perdorur,Apartament,Plotesisht i mobiluar,71,Po,Në dispozicion,po,550,,Tirana,https://www.century21albania.com/property/4378747/apartament-2-1-me-qira-tek-rruga-ferit-xhajko-partners112084.html
Apartament 2+1+2 për Qira në Liqeni i Tiranes,200,170,2,3,I Perdorur,Apartament,E pa mobiluar,76,Në proces certifikimi,Në dispozicion,po,3000,,Tirana,https://www.century21albania.com/property/4242992/apartament-2-1-2-p-euml-r-qira-n-euml-liqeni-i-tiranes-smart108759.html
SHITET APARTAMENT 1+1  NE QERRET TEK RESIDENCA ''PALM PARADISE''!!,72,63,1,2,Në ndërtim,Apartament,E pa mobiluar,64,Jo,Në dispozicion,jo,83030,Qerret,Durrës,https://www.century21albania.com/property/4378690/shitet-apartament-1-1-ne-qerret-tek-residenca-039-039-palm-paradise-039-039-epidamn112083.html
SHITET APARTAMENT 2+1+2 TEK BULEVARDI I RI!,102,91,2,2,Listimet e fundit,Apartament,E pa mobiluar,46,Në proces certifikimi,Në dispozicion,jo,205000,,Tirana,https://www.century21albania.com/property/4378688/shitet-apartament-2-1-2-tek-bulevardi-i-ri-sol112082.html
JEPET ME QERA APARTAMENT 2+1+2TUALETE NE VOLLGA DURRES,100,110,2,7,Listimet e fundit,Apartament,Plotesisht i mobiluar,55,Në proces certifikimi,Në Negociata,po,700,,Durrës,https://www.century21albania.com/property/4378429/jepet-me-qera-apartament-2-1-2tualete-ne-vollga-durres-atlantic112076.html
SHITET APARTAMENT 3+1 TEK BULEVARDI I RI!,125,111,2,2,Listimet e fundit,Apartament,E pa mobiluar,38,Në proces certifikimi,Në dispozicion,jo,249340,,Tirana,https://www.century21albania.com/property/4378044/shitet-apartament-3-1-tek-bulevardi-i-ri-sol112068.html
Shitet Biznes " Fustane me qera "   dhe punishte Atelie!,90,90,,,I Perdorur,Biznes,Plotesisht i mobiluar,46,Po,Në dispozicion,jo,25000,,Tirana,https://www.century21albania.com/property/4378646/shitet-biznes-quot-fustane-me-qera-quot-dhe-punishte-atelie-legacy112080.html
SHESIM APARTAMENT 1+1 NE QENDER KAMEZ!,78,67,1,3,Listimet e fundit,Apartament,E pa mobiluar,45,Në proces certifikimi,Në dispozicion,jo,59000,,Tirana,https://www.century21albania.com/property/4378626/shesim-apartament-1-1-ne-qender-kamez-royal112079.html
SHESIM APARTAMENT 1+1 NE QENDER KAMEZ!,78,67,1,3,Listimet e fundit,Apartament,E pa mobiluar,58,Në proces certifikimi,Në dispozicion,jo,59000,,Tirana,https://www.century21albania.com/property/4378572/shesim-apartament-1-1-ne-qender-kamez-royal112078.html
SHITET APARTAMENT 2+1 NE QERRET,77,68,2,1,I Perdorur,Apartament,Plotesisht i mobiluar,56,Po,Në dispozicion,jo,100100,Qerret,Durrës,https://www.century21albania.com/property/4373120/shitet-apartament-2-1-ne-qerret-roy111953.html
SHESIM APARTAMENT 2+1+2 TUALETE PERBALLE KOMPLEKSIT DELIJORGJI,105,87,2,10,I Perdorur,Apartament,E pa mobiluar,133,Po,Në dispozicion,jo,237000,,Tirana,https://www.century21albania.com/property/4378428/shesim-apartament-2-1-2-tualete-perballe-kompleksit-delijorgji-partners112075.html
APARTAMENT 2+1+2 + POST PARKIMI ME QIRA. LUNGOMARE. VLORE!,120,120,2,7,I Perdorur,Apartament,Plotesisht i mobiluar,56,Po,Në dispozicion,po,1100,,Vlorë,https://www.century21albania.com/property/4378549/apartament-2-1-2-post-parkimi-me-qira-lungomare-vlore-prestige112077.html
Ambient  komercial për Qira ne rruge kryesore  ne plazh Hekurudha !,681,681,,2,Listimet e fundit,Komercial,E pa mobiluar,37,Po,Në dispozicion,po,6810,,Durrës,https://www.century21albania.com/property/4378343/ambient-komercial-p-euml-r-qira-ne-rruge-kryesore-ne-plazh-hekurudha-epidamn112072.html
Ambient  komercial për Qira ne rruge kryesore  ne plazh Hekurudha !,460,460,,2,Listimet e fundit,Komercial,E pa mobiluar,31,Po,Në dispozicion,po,4600,,Durrës,https://www.century21albania.com/property/4378359/ambient-komercial-p-euml-r-qira-ne-rruge-kryesore-ne-plazh-hekurudha-epidamn112074.html
APARTAMENT 2+1 PER SHITJE NE ASTIR,86,78,2,7,Listimet e fundit,Apartament,Plotesisht i mobiluar,134,Po,Në dispozicion,jo,133000,,Tirana,https://www.century21albania.com/property/4378350/apartament-2-1-per-shitje-ne-astir-imp112073.html
APARTAMENT 3+1+2 ME PARKING NE JOY RESIDENCE!,113,98,3,2,Listimet e fundit,Apartament,Plotesisht i mobiluar,57,Po,Në dispozicion,po,1600,,Tirana,https://www.century21albania.com/property/4378245/apartament-3-1-2-me-parking-ne-joy-residence-partners112070.html
EKSKLUZIVE! SHITET APARTAMENT 1+1 NE XHAMLLIK !,76,47,1,5,Në ndërtim,Apartament,E pa mobiluar,113,Në proces certifikimi,Në dispozicion,jo,116640,,Tirana,https://www.century21albania.com/property/4378272/ekskluzive-shitet-apartament-1-1-ne-xhamllik-dream112071.html
Shitet  Apartamente 2+1 tek Rruga e Elbasanit prane Restorant Xibraku!,124,107,2,4,Listimet e fundit,Apartament,E pa mobiluar,45,Në proces certifikimi,Në dispozicion,jo,200000,,Tirana,https://www.century21albania.com/property/4368299/shitet-apartamente-2-1-tek-rruga-e-elbasanit-prane-restorant-xibraku-neom111826.html
Jepet ambient komercial per qira tek Rruga e Dibres !,115,115,1,1,I Perdorur,Komercial,E pa mobiluar,65,Po,Në dispozicion,po,600,,Tirana,https://www.century21albania.com/property/4377806/jepet-ambient-komercial-per-qira-tek-rruga-e-dibres-bosko112066.html
APARTAMENT 1+1+PARKING  NE SUNRISE RESIDENCE,75,68,1,2,I Perdorur,Apartament,Plotesisht i mobiluar,61,Po,Në dispozicion,po,700,,Tirana,https://www.century21albania.com/property/4363027/apartament-1-1-parking-ne-sunrise-residence-metropol111669.html
Shitet Apartament 2+1 prane Qendres Shendetesore  lagjia 12.,75,68,2,2,I Perdorur,Apartament,E pa mobiluar,56,Po,Në dispozicion,jo,115000,qendra shendetsore lagjia12,Durrës,https://www.century21albania.com/property/4378053/shitet-apartament-2-1-prane-qendres-shendetesore-lagjia-12-new112069.html
Kombinat. Shesim Apartament 1+1,63,63,1,2,I Perdorur,Apartament,Plotesisht i mobiluar,78,Po,Në dispozicion,jo,75000,Kombinat,Tirana,https://www.century21albania.com/property/4377245/kombinat-shesim-apartament-1-1-everest112062.html
ME QIRA APARTAMENT  1+1 NE DON BOSKO!,62,55,1,3,I Perdorur,Apartament,Plotesisht i mobiluar,136,Po,Në dispozicion,po,400,Rruga Don Bosko,Tirana,https://www.century21albania.com/property/4377472/me-qira-apartament-1-1-ne-don-bosko-bosko112063.html
SHITET AMBIENT KOMERCIAL NE  RRUGEN DRITAN HOXHA. LAPRAKE!,61,61,1,,I Perdorur,Komercial,E pa mobiluar,98,Po,Në dispozicion,jo,100000,,Tirana,https://www.century21albania.com/property/4376369/shitet-ambient-komercial-ne-rrugen-dritan-hoxha-laprake-royal112036.html
SHESIM DUPLEX NË REZIDENCËN "KODRA E DIELLIT"!,125,113,2,,Në ndërtim,Apartament,E pa mobiluar,89,Në proces certifikimi,Në dispozicion,jo,218000,,Tirana,https://www.century21albania.com/property/4376999/shesim-duplex-n-euml-rezidenc-euml-n-quot-kodra-e-diellit-quot-oks112057.html
Garazh+dyqan në zonen e  Astirit. 270.000€ | 389.3 m²,389,389,,,I Perdorur,Parkim,E pa mobiluar,94,Po,Në dispozicion,jo,270000,,Tirana,https://www.century21albania.com/property/4377053/garazh-dyqan-n-euml-zonen-e-astirit-270-000-euro-389-3-m-sup2-el112058.html
Apartament 1+1 për Shitje në Vasil Shanto. Tiranë - 138800€ | 69.4 m²,69,69,1,4,I Perdorur,Apartament,Gjysme i mobiluar,265,Po,Në dispozicion,jo,138800,,Tirana,https://www.century21albania.com/property/4377187/apartament-1-1-p-euml-r-shitje-n-euml-vasil-shanto-tiran-euml-138800-euro-69-4-m-sup2-el112061.html
Apartament 2+1+2 ballkone prane Pazarit te Ri!,100,95,2,2,I Perdorur,Apartament,Plotesisht i mobiluar,116,Në proces certifikimi,Në dispozicion,po,800,,Tirana,https://www.century21albania.com/property/4376971/apartament-2-1-2-ballkone-prane-pazarit-te-ri-gold112055.html
STUDIO MODERNE PRANE PAZARIT TE RI!,36,30,1,2,I Perdorur,Garsoniere,Plotesisht i mobiluar,120,Në proces certifikimi,Në dispozicion,po,500,,Tirana,https://www.century21albania.com/property/4376611/studio-moderne-prane-pazarit-te-ri-gold112045.html
Apartament 2+1 me qira – Pranë Stacionit të Trenit dhe Portit,90,85,2,5,I Perdorur,Apartament,Gjysme i mobiluar,83,Po,Në dispozicion,po,350,,Durrës,https://www.century21albania.com/property/4371893/apartament-2-1-me-qira-ndash-pran-euml-stacionit-t-euml-trenit-dhe-portit-new111929.html
EKSPOZITA BUILDING. SHESIM APARTAMENT 2+1.,179,135,2,10,Listimet e fundit,Apartament,E pa mobiluar,111,Në proces certifikimi,Në dispozicion,jo,534000,,Tirana,https://www.century21albania.com/property/4376805/ekspozita-building-shesim-apartament-2-1-cpm112053.html
POST PARKIMI PER SHITJE TEK "LIBURNA RESIDENCE",32,13,,,Në ndërtim,Parkim,E pa mobiluar,77,Jo,Rezervuar,jo,15000,Mali i Robit,Durrës,https://www.century21albania.com/property/4376922/post-parkimi-per-shitje-tek-quot-liburna-residence-quot-roy112054.html
Shitet. Apartament 2+1. Yzberisht. Tiranë,112,112,2,1,I Perdorur,Apartament,Gjysme i mobiluar,106,Po,Në dispozicion,jo,155000,Yzberisht,Tirana,https://www.century21albania.com/property/4376499/shitet-apartament-2-1-yzberisht-tiran-euml-bosko112042.html
Apartament me Pamje Deti për Shitje në Vollga. Durrës - 340000€ | 210m²,210,196,3,,I Perdorur,Apartament,E pa mobiluar,99,Në proces certifikimi,Në dispozicion,jo,340000,,Durrës,https://www.century21albania.com/property/4376748/apartament-me-pamje-deti-p-euml-r-shitje-n-euml-vollga-durr-euml-s-340000-euro-210m-sup2-eon112050.html
Jepet me Qira apartament tek Kodra e Diellit,105,87,2,5,I Perdorur,Apartament,Plotesisht i mobiluar,57,Po,Në dispozicion,po,680,,Tirana,https://www.century21albania.com/property/4376788/jepet-me-qira-apartament-tek-kodra-e-diellit-ent112051.html
JAPIM ME QIRA KAT VILE NE PRUSH,140,120,3,3,I Perdorur,Apartament,Gjysme i mobiluar,41,Po,Në dispozicion,po,250,Prush,Tirana,https://www.century21albania.com/property/4376619/japim-me-qira-kat-vile-ne-prush-sol112047.html
Shiten 2 Apartamente 2+1 në Vollga. Durrës,156,156,4,1,I Perdorur,Apartament,Plotesisht i mobiluar,82,Po,Në dispozicion,jo,300000,Vollga,Durrës,https://www.century21albania.com/property/4376488/shiten-2-apartamente-2-1-n-euml-vollga-durr-euml-s-eon112041.html
Apartament  2+1 për Shitje në Vollga. Durrës,80,76,2,1,I Perdorur,Apartament,Plotesisht i mobiluar,46,Po,Në dispozicion,jo,150000,Vollga,Durrës,https://www.century21albania.com/property/4376409/apartament-2-1-p-euml-r-shitje-n-euml-vollga-durr-euml-s-eon112039.html
Apartament 2+1 për Shitje në Vollga. Durrës,80,80,2,4,I Perdorur,Apartament,Plotesisht i mobiluar,59,Po,Në dispozicion,jo,150000,Vollga,Durrës,https://www.century21albania.com/property/4376406/apartament-2-1-p-euml-r-shitje-n-euml-vollga-durr-euml-s-eon112038.html
Ambjent Komercial per Qira Buze Rruge,103,103,1,1,Listimet e fundit,Komercial,E pa mobiluar,74,Jo,Në dispozicion,po,2500,,Tirana,https://www.century21albania.com/property/4376654/ambjent-komercial-per-qira-buze-rruge-ent112049.html
Apartament 2+1 për Shitje tek Vila e Zogut !,107,107,2,3,I Perdorur,Apartament,Plotesisht i mobiluar,79,Në proces certifikimi,Në dispozicion,jo,105000,,Durrës,https://www.century21albania.com/property/4376615/apartament-2-1-p-euml-r-shitje-tek-vila-e-zogut-epidamn112046.html
Apartament 2+1 per Qira ne Astir!,80,72,2,2,I Perdorur,Apartament,Plotesisht i mobiluar,53,Po,Në dispozicion,po,400,,Tirana,https://www.century21albania.com/property/4376460/apartament-2-1-per-qira-ne-astir-adore112040.html
Shitet Apartament 1+1 pranë Prokurorisë së Tiranës,60,60,1,1,I Perdorur,Apartament,Plotesisht i mobiluar,122,Po,Në dispozicion,jo,139000,,Tirana,https://www.century21albania.com/property/4375147/shitet-apartament-1-1-pran-euml-prokuroris-euml-s-euml-tiran-euml-s-smart111991.html
Shitet apartament ne Fresk,71,62,1,1,I Perdorur,Apartament,Gjysme i mobiluar,175,Po,Në dispozicion,jo,62000,,Tirana,https://www.century21albania.com/property/4376591/shitet-apartament-ne-fresk-smart112044.html
Shesim Duplex me Dy Poste Parkimi – Bulevardi i Ri!!,330,230,3,6,Listimet e fundit,Dupleks,E pa mobiluar,83,Në proces certifikimi,Në dispozicion,jo,750000,,Tirana,https://www.century21albania.com/property/4375194/shesim-duplex-me-dy-poste-parkimi-ndash-bulevardi-i-ri-gold111995.html
SHITET APARTAMENT 1+1 NE REZIDENCEN VISTA MARE. QERRET ! MUNDESI PAGESE ME KESTE !,52,52,1,,Në ndërtim,Apartament,E pa mobiluar,43,Jo,Në dispozicion,jo,75985,,Durrës,https://www.century21albania.com/property/4376371/shitet-apartament-1-1-ne-rezidencen-vista-mare-qerret-mundesi-pagese-me-keste-eon112037.html
SHITET APARTAMENT 1+1. NE REZIDENCEN VISTA MARE. QERRET ! MUNDESI PAGESE ME KESTE !,52,44,1,,Në ndërtim,Apartament,E pa mobiluar,33,Jo,Në dispozicion,jo,75985,,Durrës,https://www.century21albania.com/property/4376209/shitet-apartament-1-1-ne-rezidencen-vista-mare-qerret-mundesi-pagese-me-keste-eon112034.html
Apartament 2+1 për qira në Plazh.Durrës !!,78,78,2,2,I Perdorur,Apartament,Plotesisht i mobiluar,84,Po,Në dispozicion,po,500,,Durrës,https://www.century21albania.com/property/4376208/apartament-2-1-p-euml-r-qira-n-euml-plazh-durr-euml-s-epidamn112033.html
Apartament modern 1+1+Post parkimi per qira tek Ish Fusha e Aviacionit,77,68,1,4,Listimet e fundit,Apartament,Plotesisht i mobiluar,177,Po,Në dispozicion,po,600,,Tirana,https://www.century21albania.com/property/4375985/apartament-modern-1-1-post-parkimi-per-qira-tek-ish-fusha-e-aviacionit-expert112023.html
JAPIM ME QIRA AMBIENT KOMERCIAL NE  RRUGEN DRITAN HOXHA. LAPRAKE!,61,61,1,,I Perdorur,Komercial,E pa mobiluar,68,Po,Në dispozicion,po,400,,Tirana,https://www.century21albania.com/property/4376360/japim-me-qira-ambient-komercial-ne-rrugen-dritan-hoxha-laprake-royal112035.html
Apartament 2+1+Post parkimi për Qira tek Ish Fusha e Aviacionit. Tiranë,92,81,2,1,Listimet e fundit,Apartament,Gjysme i mobiluar,99,Po,Në dispozicion,po,700,,Tirana,https://www.century21albania.com/property/4376196/apartament-2-1-post-parkimi-p-euml-r-qira-tek-ish-fusha-e-aviacionit-tiran-euml-expert112032.html
SHITET APARTAMENT  3+1TEK RRUGA E KAVAJES. MBRAPA GLOBE,123,123,3,4,I Perdorur,Apartament,Plotesisht i mobiluar,120,Po,Në dispozicion,jo,221900,,Tirana,https://www.century21albania.com/property/4375995/shitet-apartament-3-1tek-rruga-e-kavajes-mbrapa-globe-partners112024.html
Apartament 1+1 Me Qira në Vollga. Durrës - 550€ | 72.4 m²,72,66,1,4,I Perdorur,Apartament,Plotesisht i mobiluar,40,Po,Në dispozicion,po,550,,Durrës,https://www.century21albania.com/property/4376076/apartament-1-1-me-qira-n-euml-vollga-durr-euml-s-550-euro-72-4-m-sup2-eon112030.html
SHITET GAZONIERE NE REZIDENCEN VISTA MARE. QERRET ! MUNDESI PAGESE ME KESTE !,35,30,,,Në ndërtim,Garsoniere,E pa mobiluar,35,Jo,Në dispozicion,jo,52130,,Durrës,https://www.century21albania.com/property/4376164/shitet-gazoniere-ne-rezidencen-vista-mare-qerret-mundesi-pagese-me-keste-eon112031.html
SHITET GAZONIERE NE REZIDENCEN VISTA MARE. QERRET ! MUNDESI PAGESE ME KESTE !,34,29,,,Në ndërtim,Garsoniere,E pa mobiluar,39,Jo,Në dispozicion,jo,47970,,Durrës,https://www.century21albania.com/property/4376045/shitet-gazoniere-ne-rezidencen-vista-mare-qerret-mundesi-pagese-me-keste-eon112027.html
Zyre per Qira Prane Qendres Toptani,98,87,2,3,I Perdorur,Zyra,Plotesisht i mobiluar,45,Po,Në dispozicion,po,850,,Tirana,https://www.century21albania.com/property/4376050/zyre-per-qira-prane-qendres-toptani-ent112028.html
✨ Apartament Modern 1+1 për Shitje – Në Plazh. te Rrota e Kuqe. Durres ☀️,56,48,1,1,Listimet e fundit,Apartament,Plotesisht i mobiluar,98,Po,Në dispozicion,jo,79000,,Durrës,https://www.century21albania.com/property/4375975/apartament-modern-1-1-p-euml-r-shitje-ndash-n-euml-plazh-te-rrota-e-kuqe-durres-new112022.html
SHITET GAZONIERE NE REZIDENCEN VISTA MARE. QERRET ! MUNDESI PAGESE ME KESTE !,29,24,,,Në ndërtim,Garsoniere,E pa mobiluar,32,Jo,Në dispozicion,jo,41730,,Durrës,https://www.century21albania.com/property/4375999/shitet-gazoniere-ne-rezidencen-vista-mare-qerret-mundesi-pagese-me-keste-eon112025.html
SHITET APARTAMENT 1+1 NE REZIDENCEN VISTA MARE. QERRET ! MUNDESI PAGESE ME KESTE !,52,44,1,,Në ndërtim,Apartament,E pa mobiluar,32,Jo,Në dispozicion,jo,75985,,Durrës,https://www.century21albania.com/property/4375945/shitet-apartament-1-1-ne-rezidencen-vista-mare-qerret-mundesi-pagese-me-keste-eon112021.html
APARTAMENT 2+1+2 PER QIRA NE KOMPLEKSIN PANORAMA,106,106,2,11,Listimet e fundit,Apartament,Plotesisht i mobiluar,107,Po,Në dispozicion,po,850,Kompleksi Panorama,Tirana,https://www.century21albania.com/property/4375032/apartament-2-1-2-per-qira-ne-kompleksin-panorama-sun111986.html
APARTAMENT 2+1 PER SHITJE NE FRESK,117,109,2,6,Listimet e fundit,Apartament,Plotesisht i mobiluar,79,Po,Në dispozicion,jo,132000,Prane Restorant Freskut,Tirana,https://www.century21albania.com/property/4375804/apartament-2-1-per-shitje-ne-fresk-sun112016.html
SHITET APARTAMENT 1+1 NE REZIDENCEN VISTA MARE. QERRET ! MUNDESI PAGESE ME KESTE !,45,38,1,,Në ndërtim,Apartament,E pa mobiluar,28,Jo,Në dispozicion,jo,66300,,Durrës,https://www.century21albania.com/property/4375886/shitet-apartament-1-1-ne-rezidencen-vista-mare-qerret-mundesi-pagese-me-keste-eon112019.html
SHITET GAZONIERE NE REZIDENCEN VISTA MARE. QERRET ! MUNDESI PAGESE ME KESTE !,29,24,,,Në ndërtim,Garsoniere,E pa mobiluar,15,Jo,Në dispozicion,jo,41730,,Durrës,https://www.century21albania.com/property/4375806/shitet-gazoniere-ne-rezidencen-vista-mare-qerret-mundesi-pagese-me-keste-eon112017.html
!!!SHESIM SHTEPI PRIVATE NE PLAZH TE VJETER. VLORE!!,420,97,2,1,I Perdorur,Shtëpi,Plotesisht i mobiluar,29,Po,Në dispozicion,jo,200000,,Vlorë,https://www.century21albania.com/property/4375820/shesim-shtepi-private-ne-plazh-te-vjeter-vlore-coast112018.html
