Siperfaqe Totale,Siperfaqe e Brendshme,Dhoma Gjumi,Kati,Statusi,Lloji,Mobiluar,Shikime,Hipoteka,Gjendja,Qera,Cmimi_per_m2,Vendndodhja,Cmimi_Real,Parashikim
60.0,53.0,1.0,5,I Perdorur,Apartament,Plotesisht i mobiluar,786.0,Po,Në dispozicion,jo,1383.3333333333333,Durrës - ,83000.0,84985.24958333332
101.0,78.0,1.0,5,Në ndërtim,Apartament,E pa mobiluar,57.0,Në proces certifikimi,Në dispozicion,jo,1707.920792079208,Tirana - ,172500.0,172431.68111111113
85.0,77.0,2.0,1,Në ndërtim,Apartament,E pa mobiluar,84.0,Jo,Në dispozicion,jo,1990.5882352941176,Tirana - ,169200.0,169258.24583077885
55.0,49.0,1.0,,Listimet e fundit,Apartament,E pa mobiluar,504.0,Jo,Në dispozicion,jo,1152.090909090909,Vlorë - Orikum,63365.0,65098.71631973857
147.0,89.0,2.0,8,Listimet e fundit,Apartament,E pa mobiluar,292.0,Po,Në dispozicion,jo,755.1020408163265,Tirana - Institut Kamëz,111000.0,106082.79014483067
153.0,153.0,3.0,,I Perdorur,Vile,E pa mobiluar,186.0,Po,Në dispozicion,jo,1176.4705882352941,Durrës - Prane Muzeut Deshmoreve,180000.0,187441.8079159664
44.0,44.0,1.0,3,I Perdorur,Tjeter,Plotesisht i mobiluar,128.0,Po,Në dispozicion,jo,2272.7272727272725,Durrës - ,100000.0,97102.43333333333
197.0,197.0,3.0,12,Listimet e fundit,Apartament,E pa mobiluar,837.0,Po,Në dispozicion,jo,3248.730964467005,Tirana - bllok,640000.0,628621.75
130.0,113.0,2.0,2,Në ndërtim,Apartament,E pa mobiluar,28.0,Në proces certifikimi,Në dispozicion,jo,2000.0,Tirana - ,260000.0,260033.56833333336
96.0,79.0,2.0,6,I Perdorur,Apartament,Gjysme i mobiluar,159.0,Po,Në dispozicion,jo,1666.6666666666667,Tirana - Bulevardi Zogu i Pare,160000.0,160419.375
92.0,80.0,2.0,1,Listimet e fundit,Apartament,E pa mobiluar,119.0,Në proces certifikimi,Në dispozicion,jo,1150.3695652173913,Durrës - ,105834.0,106308.259341495
168.0,98.0,2.0,0-1,I Perdorur,Apartament,Gjysme i mobiluar,707.0,Në proces certifikimi,Në dispozicion,jo,2065.4761904761904,Tirana - ,347000.0,346977.2666666667
106.0,93.0,2.0,5,Në ndërtim,Apartament,E pa mobiluar,170.0,Në proces certifikimi,Në dispozicion,jo,2492.2169811320755,Tirana - ,264175.0,261707.46219187672
76.0,52.0,1.0,1,Në ndërtim,Apartament,E pa mobiluar,93.0,Në proces certifikimi,Në dispozicion,jo,1025.921052631579,Durrës - ,77970.0,79236.85684946999
91.0,91.0,2.0,8,I Perdorur,Apartament,Plotesisht i mobiluar,154.0,Po,Në dispozicion,jo,2252.747252747253,Tirana - ,205000.0,207013.63888888888
55.0,46.0,1.0,3,Në ndërtim,Apartament,E pa mobiluar,207.0,Në proces certifikimi,Në dispozicion,jo,1501.6363636363637,Durrës - Mali i robit,82590.0,82670.33969642856
75.0,64.0,1.0,3,Listimet e fundit,Apartament,E pa mobiluar,116.0,Në proces certifikimi,Në dispozicion,jo,1600.0,Durrës - ,120000.0,120226.72679861807
111.0,97.0,2.0,6,Listimet e fundit,Apartament,Plotesisht i mobiluar,281.0,Në proces certifikimi,Në dispozicion,jo,2207.2072072072074,Tirana - ,245000.0,246222.18952380956
59.0,50.0,1.0,3,I Perdorur,Apartament,E pa mobiluar,533.0,Në proces certifikimi,Në dispozicion,jo,1620.0677966101696,Durrës - Gjiri i Lalzit,95584.0,94564.50607142858
120.0,105.0,2.0,10,I Perdorur,Apartament,Plotesisht i mobiluar,72.0,Po,Në dispozicion,jo,2187.5,Vlorë - ,262500.0,259325.06452380956
87.0,87.0,2.0,7,Listimet e fundit,Apartament,E pa mobiluar,118.0,Në proces certifikimi,Në dispozicion,jo,1350.5747126436781,Vlorë - ,117500.0,120653.67036616159
97.0,86.0,2.0,,Listimet e fundit,Apartament,Plotesisht i mobiluar,1608.0,Në proces certifikimi,Në dispozicion,jo,1391.7525773195875,Tirana - ,135000.0,134727.99166666667
91.0,82.0,2.0,2,I Perdorur,Apartament,Plotesisht i mobiluar,563.0,Jo,Në dispozicion,jo,2032.967032967033,Tirana - SimaCom. Astir,185000.0,187897.46153846153
53.0,46.0,1.0,6,Në ndërtim,Apartament,E pa mobiluar,202.0,Në proces certifikimi,Në dispozicion,jo,1156.5094339622642,Durrës - ,61295.0,61035.38395736208
83.0,76.0,1.0,9,I Perdorur,Apartament,E pa mobiluar,303.0,Po,Në dispozicion,jo,915.6626506024096,Durrës - ,76000.0,76033.49201583139
67.0,60.0,1.0,3,I Perdorur,Apartament,Plotesisht i mobiluar,278.0,Po,Në dispozicion,jo,2761.194029850746,Vlorë - Rr. Aleksander Moisiu,185000.0,185718.4095238095
122.0,117.0,2.0,6,I Perdorur,Apartament,Plotesisht i mobiluar,144.0,Po,Në dispozicion,jo,2377.0491803278687,Vlorë - ,290000.0,287076.91
56.0,51.0,1.0,6,Në ndërtim,Apartament,E pa mobiluar,132.0,Jo,Në dispozicion,jo,1304.642857142857,Durrës - Golem,73060.0,72493.5677408841
588.0,428.0,12.0,3,I Perdorur,Vile,Plotesisht i mobiluar,2086.0,Jo,Në dispozicion,jo,663.265306122449,Durrës - Rrota e Kuqe,390000.0,375345.83333333326
78.0,63.0,1.0,1,Listimet e fundit,Apartament,E pa mobiluar,185.0,Në proces certifikimi,Në dispozicion,jo,1005.1282051282051,Durrës - ,78400.0,78634.15948281037
155.0,138.0,3.0,0-1,Në ndërtim,Tjeter,E pa mobiluar,765.0,Jo,Në dispozicion,jo,1758.0645161290322,Tirana - ,272500.0,269964.39847619046
56.0,54.0,1.0,3,I Perdorur,Apartament,Plotesisht i mobiluar,130.0,Po,Në dispozicion,jo,1607.142857142857,Durrës - ,90000.0,88519.7325
67.0,56.0,1.0,3,Listimet e fundit,Apartament,Plotesisht i mobiluar,378.0,Në proces certifikimi,Në dispozicion,jo,2492.5373134328356,Sarandë - pranë Pedonales Kryesore,167000.0,167435.9476254791
92.0,82.0,2.0,7,I Perdorur,Apartament,E pa mobiluar,1674.0,Po,Në dispozicion,jo,1222.8260869565217,Tirana - ,112500.0,112789.40943528565
206.0,89.0,2.0,3,I Perdorur,Apartament,Plotesisht i mobiluar,256.0,Po,Në dispozicion,jo,922.3300970873786,Durrës - ,190000.0,193838.48259920636
112.0,102.0,2.0,6,I Perdorur,Apartament,Plotesisht i mobiluar,1872.0,Po,Në dispozicion,po,9.821428571428571,Tirana - ,1100.0,1167.502432673178
200.0,200.0,3.0,8,I Perdorur,Komercial,E pa mobiluar,394.0,Po,Në dispozicion,po,8.5,Tirana - Rruga e Dibrës,1700.0,1684.5569784330614
74.0,50.0,1.0,4,Në ndërtim,Apartament,E pa mobiluar,68.0,Në proces certifikimi,Në dispozicion,jo,2027.027027027027,Sarandë - Rruga Butrinti,150000.0,151069.8746103896
69.0,62.0,1.0,4,Listimet e fundit,Apartament,E pa mobiluar,445.0,Në proces certifikimi,Në dispozicion,jo,1707.391304347826,Durrës - Qerret,117810.0,119166.90045121546
105.0,89.0,2.0,,Në ndërtim,Apartament,E pa mobiluar,374.0,Në proces certifikimi,Në dispozicion,jo,932.0,Durrës - ,97860.0,97398.12786514903
141.0,111.0,2.0,1,Në ndërtim,Apartament,E pa mobiluar,590.0,Në proces certifikimi,Në dispozicion,jo,3062.9432624113474,Durrës - Currila Coast,431875.0,417923.55
97.0,81.0,2.0,6,Në ndërtim,Apartament,E pa mobiluar,229.0,Jo,Në dispozicion,jo,1247.9381443298969,Durrës - Golem,121050.0,120757.79382635833
197.0,197.0,3.0,2,Listimet e fundit,Vile,Plotesisht i mobiluar,1438.0,Po,Në dispozicion,jo,1827.4111675126903,Tirana - Rruga Bajram Preza,360000.0,359489.69345238095
62.0,53.0,1.0,2,Në ndërtim,Apartament,E pa mobiluar,594.0,Në proces certifikimi,Në dispozicion,jo,903.2258064516129,Durrës - ,56000.0,55246.92188975129
118.0,100.0,2.0,6,Në ndërtim,Apartament,E pa mobiluar,545.0,Në proces certifikimi,Në dispozicion,jo,1593.2203389830509,Tirana - ,188000.0,187200.92175574426
71.0,61.0,1.0,2,I Perdorur,Apartament,Plotesisht i mobiluar,941.0,Jo,Në dispozicion,jo,2042.2535211267605,Tirana - Rruga Benjamin Kruta,145000.0,144359.80171495173
91.0,79.0,2.0,6,I Perdorur,Apartament,E pa mobiluar,770.0,Po,Në dispozicion,jo,1028.6703296703297,Tirana - ,93609.0,91936.72596863538
24.0,24.0,1.0,,I Perdorur,Tjeter,E pa mobiluar,108.0,Po,Në dispozicion,jo,5020.833333333333,Tirana - ,120500.0,114830.89285714286
20.0,20.0,1.0,,Listimet e fundit,Komercial,E pa mobiluar,550.0,Po,Në dispozicion,jo,2850.0,Tirana - ,57000.0,73825.5
68.0,68.0,1.0,2,Listimet e fundit,Apartament,Plotesisht i mobiluar,1685.0,Po,Në dispozicion,jo,1220.5882352941176,Durrës - ,83000.0,82529.03150892681
94.0,80.0,2.0,8,Në ndërtim,Apartament,E pa mobiluar,638.0,Në proces certifikimi,Në dispozicion,jo,945.4468085106383,Tirana - ,88872.0,88234.64812663844
121.0,93.0,2.0,19,Në ndërtim,Apartament,E pa mobiluar,188.0,Po,Në dispozicion,jo,2198.181818181818,Tirana - ,265980.0,263907.47428571427
104.0,90.0,2.0,9,I Perdorur,Apartament,E pa mobiluar,675.0,Po,Në dispozicion,jo,900.0865384615385,Tirana - ,93609.0,94985.4675617325
656.0,656.0,2.0,4,I Perdorur,Vile,,461.0,Po,Në dispozicion,jo,457.3170731707317,Durrës - ,300000.0,334827.2916666666
72.0,72.0,1.0,5,I Perdorur,Apartament,Plotesisht i mobiluar,356.0,Po,Në dispozicion,jo,1597.2222222222222,Tirana - Rruga Jordan Misja,115000.0,115106.82083630096
69.0,56.0,1.0,2,Listimet e fundit,Apartament,E pa mobiluar,237.0,Në proces certifikimi,Në dispozicion,jo,1007.2463768115942,Durrës - ,69500.0,70119.95833014205
47.0,41.0,1.0,6,Listimet e fundit,Apartament,E pa mobiluar,214.0,Në proces certifikimi,Në dispozicion,jo,1107.0212765957447,Durrës - ,52030.0,52769.62184415584
500.0,276.0,11.0,,I Perdorur,Tjeter,Plotesisht i mobiluar,399.0,Po,Në dispozicion,po,10.0,Shijak - ,5000.0,4318.10607900871
86.0,76.0,2.0,2,I Perdorur,Apartament,Plotesisht i mobiluar,488.0,Po,Në dispozicion,jo,2000.0,Vlorë - ,172000.0,171693.13005116957
64.0,53.0,1.0,,c21al-new.in_project,Apartament,E pa mobiluar,255.0,Jo,Në dispozicion,jo,1272.5,Durrës - Golem,81440.0,80338.91250970353
46.0,40.0,1.0,4,Në ndërtim,Apartament,E pa mobiluar,292.0,Në proces certifikimi,Në dispozicion,jo,1202.608695652174,Durrës - ,55320.0,54843.44234012965
386.0,223.0,4.0,7,Listimet e fundit,Apartament,E pa mobiluar,607.0,Po,Në dispozicion,jo,1476.6839378238342,Tirana - ,570000.0,581081.19
68.0,61.0,1.0,1,Në ndërtim,Apartament,E pa mobiluar,28.0,Jo,Në dispozicion,jo,1305.735294117647,Durrës - Golem,88790.0,88809.09351566766
210.0,172.0,4.0,5,I Perdorur,Apartament,Gjysme i mobiluar,158.0,Po,Në dispozicion,po,5.714285714285714,Tirana - ,1200.0,1317.310577755578
47.0,47.0,1.0,,I Perdorur,Tjeter,Gjysme i mobiluar,35.0,Po,Në dispozicion,jo,138.29787234042553,Tirana - ,6500.0,10986.65
87.0,77.0,2.0,3,Në ndërtim,Apartament,E pa mobiluar,344.0,Në proces certifikimi,Në dispozicion,jo,1091.9540229885058,Durrës - ,95000.0,96554.86817684064
96.0,78.0,1.0,2,Listimet e fundit,Apartament,E pa mobiluar,1513.0,Në proces certifikimi,Në dispozicion,jo,3798.1875,Vlorë - Rr. Bregdet Jale,364626.0,351175.1916666667
71.0,55.0,1.0,1,Në ndërtim,Apartament,E pa mobiluar,64.0,Në proces certifikimi,Në dispozicion,jo,1661.9718309859154,Sarandë - Rruga Butrinti,118000.0,118244.59147635696
65.0,56.0,1.0,1,Në ndërtim,Apartament,E pa mobiluar,423.0,Në proces certifikimi,Në dispozicion,jo,906.9230769230769,Durrës - ,58950.0,58044.691695641086
82.0,73.0,2.0,6,I Perdorur,Apartament,Plotesisht i mobiluar,714.0,Po,Në dispozicion,jo,1353.658536585366,Durrës - ,111000.0,113331.27483333334
750.0,375.0,5.0,,I Perdorur,Vile,E pa mobiluar,558.0,Po,Në dispozicion,jo,733.3333333333334,Tirana - Rruga e Agallareve,550000.0,494911.5
128.0,109.0,2.0,3,Listimet e fundit,Apartament,E pa mobiluar,1261.0,Jo,Në dispozicion,jo,1460.9375,Tirana - ,187000.0,186304.78663095238
231.0,197.0,1.0,3,I Perdorur,Tjeter,E pa mobiluar,634.0,Po,Në dispozicion,jo,2813.852813852814,Tirana - ,650000.0,637889.69
280.0,93.0,2.0,2,I Perdorur,Vile,Gjysme i mobiluar,1183.0,Po,Në dispozicion,jo,928.5714285714286,Tirana - ,260000.0,258206.44345238098
